in s,C1 in V
-5.9671757E-02,3.81152E+00
-5.9670835E-02,3.82129E+00
-5.9669914E-02,3.83105E+00
-5.9668992E-02,3.83105E+00
-5.9668070E-02,3.86035E+00
-5.9667149E-02,3.83105E+00
-5.9666227E-02,3.83105E+00
-5.9665306E-02,3.83105E+00
-5.9664384E-02,3.76270E+00
-5.9663462E-02,3.84082E+00
-5.9662541E-02,3.84082E+00
-5.9661619E-02,3.85059E+00
-5.9660698E-02,3.82129E+00
-5.9659776E-02,3.80176E+00
-5.9658854E-02,3.82129E+00
-5.9657933E-02,3.79199E+00
-5.9657011E-02,3.83105E+00
-5.9656090E-02,3.84082E+00
-5.9655168E-02,3.82129E+00
-5.9654246E-02,3.80176E+00
-5.9653325E-02,3.81152E+00
-5.9652403E-02,3.80176E+00
-5.9651482E-02,3.81152E+00
-5.9650560E-02,3.79199E+00
-5.9649638E-02,3.79199E+00
-5.9648717E-02,3.79199E+00
-5.9647795E-02,3.78223E+00
-5.9646874E-02,3.80176E+00
-5.9645952E-02,3.77246E+00
-5.9645030E-02,3.82129E+00
-5.9644109E-02,3.79199E+00
-5.9643187E-02,3.78223E+00
-5.9642266E-02,3.79199E+00
-5.9641344E-02,3.79199E+00
-5.9640422E-02,3.79199E+00
-5.9639501E-02,3.75293E+00
-5.9638579E-02,3.78223E+00
-5.9637658E-02,3.74316E+00
-5.9636736E-02,3.72363E+00
-5.9635814E-02,3.78223E+00
-5.9634893E-02,3.78223E+00
-5.9633971E-02,3.81152E+00
-5.9633050E-02,3.80176E+00
-5.9632128E-02,3.78223E+00
-5.9631206E-02,3.79199E+00
-5.9630285E-02,3.74316E+00
-5.9629363E-02,3.75293E+00
-5.9628442E-02,3.78223E+00
-5.9627520E-02,3.78223E+00
-5.9626598E-02,3.78223E+00
-5.9625677E-02,3.79199E+00
-5.9624755E-02,3.74316E+00
-5.9623834E-02,3.78223E+00
-5.9622912E-02,3.72363E+00
-5.9621990E-02,3.75293E+00
-5.9621069E-02,3.73340E+00
-5.9620147E-02,3.78223E+00
-5.9619226E-02,3.75293E+00
-5.9618304E-02,3.73340E+00
-5.9617382E-02,3.73340E+00
-5.9616461E-02,3.72363E+00
-5.9615539E-02,3.73340E+00
